,norm_form,True label,Predicted,Norm morph features,Transformed morph features
0,_10-й#,_10-й,_12-ой,"ADJF,Abbr,Anum masc,sing,nomn","ADJF,Abbr,Anum femn,sing,loct"
1,_комипермяцкагропромтехснаб#,_комипермяцкагропромтехснабами,_комипермяцкагропромтехнабами,"NOUN,inan,masc,Orgn sing,nomn","NOUN,inan,masc,Orgn plur,ablt"
0,_ослизнув#,_ослизши,_ослизнувши,"GRND,perf,intr past","GRND,perf,intr past,V-sh"
1,_авелиевна#,_авельевне,_авелиевне,"NOUN,anim,femn,Patr sing,nomn,V-ie","NOUN,anim,femn,Patr sing,datv"
2,_мануфактур-коллегия#,_мануфактур-коллегию,_мануфактураколлегию,"NOUN,inan,femn sing,nomn","NOUN,inan,femn sing,accs"
3,_анзориевна#,_анзорьевны,_анзориевны,"NOUN,anim,femn,Patr sing,nomn,V-ie","NOUN,anim,femn,Patr plur,nomn"
4,_перёд#,_передов,_перёдов,"NOUN,inan,masc sing,nomn","NOUN,inan,masc plur,gent"
5,_ганец#,_ганцев,_ганцов,"NOUN,anim,masc sing,nomn","NOUN,anim,masc plur,gent"
0,_багрянённый#,_багряненным,_багрянённым,"PRTF,impf,tran,past,pssv masc,sing,nomn,Infr","PRTF,impf,tran,past,pssv neut,sing,ablt"
1,_заузил#,_заузьте,_заузите,"VERB,perf,tran masc,sing,past,indc","VERB,perf,tran plur,impr,excl"
2,_сорокавосьмигранник#,_сорокавосьмигранника,_сорокавосьмигираника,"NOUN,inan,masc sing,nomn","NOUN,inan,masc sing,gent"
3,_переступень#,_переступни,_переступени,"NOUN,inan,masc sing,nomn","NOUN,inan,masc plur,accs"
0,_тигель#,_тиглем,_тигелем,"NOUN,inan,masc sing,nomn","NOUN,inan,masc sing,ablt"
1,_ветрен#,_ветрена,_ветренна,"ADJS,Qual masc,sing","ADJS,Qual femn,sing"
2,_прокиснув#,_прокисши,_прокиснувши,"GRND,perf,intr past","GRND,perf,intr past,V-sh"
3,_обмяк#,_обмякнет,_обомнкнет,"VERB,perf,intr masc,sing,past,indc","VERB,perf,intr sing,3per,futr,indc"
4,_полкружки#,_полукружке,_полукржуки,"NOUN,inan,neut,Sgtm sing,nomn","NOUN,inan,neut,Sgtm sing,loct"
5,_переглодал#,_переглодаю,_перегложу,"VERB,perf,tran masc,sing,past,indc","VERB,perf,tran sing,1per,futr,indc"
0,_говорюсь#,_говоритесь,_говорьтесь,"VERB,impf,intr sing,1per,pres,indc","VERB,impf,intr plur,impr,excl"
1,_транспортно-бомбардировочный#,_транспортно-бомбардировочных,_транспортно-бомбаридричных,"ADJF masc,sing,nomn","ADJF anim,plur,accs"
2,_тмим#,_тмите,_тмимете,"VERB,impf,tran plur,1per,pres,indc","VERB,impf,tran plur,2per,pres,indc"
3,_подзанялся#,_подзаймёмтесь,_подзанямемтесь,"VERB,perf,intr masc,sing,past,indc","VERB,perf,intr plur,impr,incl"
4,_переплескал#,_переплескаем,_переплещем,"VERB,perf,tran masc,sing,past,indc","VERB,perf,tran sing,impr,incl"
0,_мы#,_нам,_ммам,"NPRO,1per plur,nomn","NPRO,1per plur,datv"
1,_улан-баторец#,_улан-баторцами,_улан-баторецами,"NOUN,anim,masc sing,nomn","NOUN,anim,masc plur,ablt"
0,_воспитательно-исправительный#,_воспитательно-исправительная,_воспитательно-испиравительная,"ADJF masc,sing,nomn","ADJF femn,sing,nomn"
