,norm_form,True label,Predicted,Norm morph features,Transformed morph features
0,_индивидуально-определенен#,индивидуально-определенно,индивидуально-определьно,"ADJS masc,sing,V-en","ADJS neut,sing"
1,_строённый#,строенных,строённых,"PRTF,perf,tran,past,pssv masc,sing,nomn,Infr","PRTF,perf,tran,past,pssv anim,plur,accs"
2,_поохал#,поохаем,поошем,"VERB,perf,intr masc,sing,past,indc","VERB,perf,intr plur,1per,futr,indc"
3,_плачу#,плачут,плачат,"VERB,impf,intr sing,1per,pres,indc","VERB,impf,intr plur,3per,pres,indc"
4,_беллендиры#,беллендиров,беллендирых,"NOUN,anim,ms-f,Pltm,Surn plur,nomn","NOUN,anim,ms-f,Pltm,Surn plur,accs"
5,_заскирдовал#,заскирдуем,заскиддуем,"VERB,perf,tran masc,sing,past,indc","VERB,perf,tran plur,1per,futr,indc"
6,_кетой#,кетоя,кетого,"NOUN,inan,masc,Sgtm,Geox sing,nomn","NOUN,inan,masc,Sgtm,Geox sing,gent"
7,_чурчхела#,чурчхели,чурчхелы,"NOUN,inan,femn sing,nomn","NOUN,inan,femn plur,nomn,Infr"
8,_волынцы#,волынцов,волынцев,"NOUN,anim,ms-f,Pltm,Surn plur,nomn","NOUN,anim,ms-f,Pltm,Surn plur,accs"
0,_кочевряжусь#,кочевряжься,кочеврязься,"VERB,impf,intr sing,1per,pres,indc","VERB,impf,intr sing,impr,excl"
1,_зубодёр#,зубодёрами,зубодрами,"NOUN,anim,masc sing,nomn","NOUN,anim,masc plur,ablt"
2,_лёссовиден#,лёссовидны,лёсосовдны,"ADJS masc,sing",ADJS plur
3,_трухчу#,трухтело,трухтило,"VERB,impf,intr sing,1per,pres,indc","VERB,impf,intr neut,sing,past,indc"
4,_зачал#,зачнём,зачаем,"VERB,perf,tran masc,sing,past,indc","VERB,perf,tran sing,impr,incl"
5,_тужусь#,тужься,тузись,"VERB,impf,intr sing,1per,pres,indc","VERB,impf,intr sing,impr,excl"
6,_заморозил#,заморозь,заморози,"VERB,perf,tran masc,sing,past,indc","VERB,perf,tran sing,impr,excl"
0,_полибутадиеннитрилакриловый#,полибутадиеннитрилакриловое,полибутадиеннитрилое,"ADJF masc,sing,nomn","ADJF neut,sing,accs"
1,_размельчился#,размельчусь,размельчу,"VERB,perf,intr masc,sing,past,indc","VERB,perf,intr sing,1per,futr,indc"
2,_бутурлиновкаагропромтранс#,бутурлиновкаагропромтрансы,бутурлиновкаагропромтрнсы,"NOUN,inan,masc,Orgn sing,nomn","NOUN,inan,masc,Orgn plur,accs"
3,_захлороформировавший#,захлороформировавшему,захлороформировавшшему,"PRTF,perf,tran,past,actv masc,sing,nomn","PRTF,perf,tran,past,actv neut,sing,datv"
4,_реввека#,реввеками,ревевками,"NOUN,anim,femn,Name sing,nomn","NOUN,anim,femn,Name plur,ablt"
5,_просвещён#,просвещённа,просвещёна,"ADJS,Qual masc,sing","ADJS,Qual femn,sing"
6,_манхеттен#,манхэттены,манхеттены,"NOUN,inan,masc,Geox sing,nomn,Infr","NOUN,inan,masc,Geox plur,accs"
7,_исаакиевна#,исаакьевнах,исаакиевнах,"NOUN,anim,femn,Patr sing,nomn,V-ie","NOUN,anim,femn,Patr plur,loct"
8,_деэтимологизировался#,деэтимологизируются,деэтимялогизируются,"VERB,perf,intr masc,sing,past,indc","VERB,perf,intr plur,3per,futr,indc"
9,_недожал#,недожмут,недожнут,"VERB,perf,tran masc,sing,past,indc","VERB,perf,tran plur,3per,futr,indc"
0,_взбил#,взбей,взобй,"VERB,perf,tran masc,sing,past,indc","VERB,perf,tran sing,impr,excl"
1,_селитроварня#,селитроварен,селитроварней,"NOUN,inan,femn sing,nomn","NOUN,inan,femn plur,gent"
2,_арниевна#,арниевне,арньевне,"NOUN,anim,femn,Patr sing,nomn","NOUN,anim,femn,Patr sing,datv"
3,_перехвалил#,перехвалите,перехвёте,"VERB,perf,tran masc,sing,past,indc","VERB,perf,tran plur,2per,futr,indc"
4,_чёркаю#,чёркал,черкал,"VERB,impf,tran sing,1per,pres,indc,Infr","VERB,impf,tran masc,sing,past,indc,Infr"
5,_возроптал#,возропщи,возропчи,"VERB,perf,intr masc,sing,past,indc","VERB,perf,intr sing,impr,excl"
6,_обындевел#,обындевейте,обындевите,"VERB,perf,intr masc,sing,past,indc","VERB,perf,intr plur,impr,excl"
0,_уел#,уедите,уедете,"VERB,perf,tran masc,sing,past,indc","VERB,perf,tran plur,2per,futr,indc"
1,_верка#,верок,верк,"NOUN,anim,femn,Name sing,nomn","NOUN,anim,femn,Name plur,accs"
2,_олицетворил#,олицетворите,олицетворьте,"VERB,perf,tran masc,sing,past,indc","VERB,perf,tran plur,impr,excl"
3,_первое#,первые,первоя,"NOUN,inan,neut sing,nomn","NOUN,inan,neut plur,nomn"
4,_ерунжу#,ерунди,ерунжь,"VERB,impf,intr sing,1per,pres,indc","VERB,impf,intr sing,impr,excl"
5,_порфириевич#,порфириевичей,порфирьевичей,"NOUN,anim,masc,Patr sing,nomn","NOUN,anim,masc,Patr plur,accs"
0,_индустриализированный#,индустриализированного,индустриализироваванного,"PRTF,perf,tran,past,pssv masc,sing,nomn","PRTF,perf,tran,past,pssv masc,sing,gent"
1,_постигнувший#,постигшими,постигнувшими,"PRTF,perf,tran,past,actv masc,sing,nomn,Infr","PRTF,perf,tran,past,actv plur,ablt"
2,_левша#,левшей,левек,"NOUN,anim,ms-f sing,nomn","NOUN,anim,ms-f plur,gent"
3,_чертёнок#,чертенят,чертён,"NOUN,anim,masc sing,nomn","NOUN,anim,masc plur,accs"
4,_напустил#,напущу,напусуу,"VERB,perf,tran masc,sing,past,indc","VERB,perf,tran sing,1per,futr,indc"
0,_ляпнулся#,ляпнется,ляпнётся,"VERB,perf,intr masc,sing,past,indc","VERB,perf,intr sing,3per,futr,indc"
1,_смаклерил#,смаклери,смаклерь,"VERB,perf,tran masc,sing,past,indc","VERB,perf,tran sing,impr,excl"
2,_компенсаторно-приспособительный#,компенсаторно-приспособительную,компенсаторно-приспособителььььььььььььь,"ADJF masc,sing,nomn","ADJF femn,sing,accs"
0,_махающийся#,машущеюся,махающеюся,"PRTF,impf,intr,pres,actv masc,sing,nomn","PRTF,impf,intr,pres,actv femn,sing,ablt,V-ey,Infr"
1,_роликоподшипниковее#,пороликоподшипниковей,пороликоподшипинковей,COMP,"COMP Cmp2,V-ej"
2,_фототок#,фототока,фототка,"NOUN,inan,masc sing,nomn","NOUN,inan,masc sing,gent"
0,_попростел#,попростею,попросту,"VERB,perf,intr masc,sing,past,indc","VERB,perf,intr sing,1per,futr,indc"
1,_асланбеч#,асланбечом,асланбечем,"NOUN,anim,masc,Name sing,nomn","NOUN,anim,masc,Name sing,ablt"
2,_оттесал#,оттешу,отеешу,"VERB,perf,tran masc,sing,past,indc","VERB,perf,tran sing,1per,futr,indc"
3,_никой#,никоим,никим,"ADJF,Apro masc,sing,nomn","ADJF,Apro plur,datv"
4,_ангарсктеплохиммонтаж#,ангарсктеплохиммонтажем,ангарсктеплохиммонанжем,"NOUN,inan,masc,Orgn sing,nomn","NOUN,inan,masc,Orgn sing,ablt,Infr"
0,_перепал#,перепади,перепай,"VERB,perf,intr masc,sing,past,indc","VERB,perf,intr sing,impr,excl"
1,_присел#,присядь,присей,"VERB,perf,intr masc,sing,past,indc","VERB,perf,intr sing,impr,excl"
2,_херлиевич#,херлиевича,херльевича,"NOUN,anim,masc,Patr sing,nomn","NOUN,anim,masc,Patr sing,accs"
3,_споил#,спою,споюлю,"VERB,perf,tran masc,sing,past,indc","VERB,perf,tran sing,1per,futr,indc"
0,_обаял#,обаяем,обаем,"VERB,perf,tran masc,sing,past,indc","VERB,perf,tran sing,impr,incl"
1,_пересвистал#,пересвищет,пересвистает,"VERB,perf,tran masc,sing,past,indc","VERB,perf,tran sing,3per,futr,indc"
2,_мерю#,меряешь,мерешь,"VERB,impf,tran sing,1per,pres,indc","VERB,impf,tran sing,2per,pres,indc,Infr"
3,_очко#,очков,очк,"NOUN,inan,neut sing,nomn","NOUN,inan,neut plur,gent"
4,_милёнок#,милёнки,милята,"NOUN,anim,masc sing,nomn","NOUN,anim,masc plur,nomn"
5,_1-й#,1-го,3-ого,"ADJF,Abbr,Anum masc,sing,nomn","ADJF,Abbr,Anum neut,sing,gent"
6,_обалдел#,обалдеете,обалдите,"VERB,perf,intr masc,sing,past,indc","VERB,perf,intr plur,2per,futr,indc"
7,_газированный#,газированного,газированногною,"PRTF,perf,tran,past,pssv,Adjx masc,sing,nomn","PRTF,perf,tran,past,pssv,Adjx neut,sing,gent"
8,_утыкаю#,утыкай,утычь,"VERB,impf,tran sing,1per,pres,indc","VERB,impf,tran sing,impr,excl"
9,_акива#,акивы,акива,"NOUN,anim,masc,Name sing,nomn","NOUN,anim,masc,Name sing,gent"
10,_содержа#,содержавши,содерживши,"GRND,impf,tran pres","GRND,impf,tran past,V-sh"
11,_мышца#,мышцы,мышци,"NOUN,inan,femn sing,nomn","NOUN,inan,femn plur,nomn"
0,_порчу#,портите,порчите,"VERB,impf,tran sing,1per,pres,indc","VERB,impf,tran plur,impr,excl"
